"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0039155",453.275338598749,-4.281829727223,0.191997710047165,-22.3014624818762,3.57620282975687e-110,2.76404716711909e-106
"FBgn0029167",2165.04449786732,-2.18274454903896,0.108066974642165,-20.1980721331984,1.01794362816785e-90,3.93384315105467e-87
"FBgn0035085",366.827879044973,-2.4368600637988,0.150527960607976,-16.188753597381,6.05425225802131e-59,1.55977719007489e-55
"FBgn0029896",257.902702279936,-2.5112564814999,0.182376395895843,-13.7696354243896,3.8816703579373e-43,7.50035754912434e-40
"FBgn0034736",118.407382327029,-3.16639163156112,0.237550635966476,-13.3293334226559,1.56287832156627e-40,2.41589730947714e-37
"FBgn0040091",610.603484946151,-1.5263997962271,0.127855478509608,-11.9384778346623,7.45754598313174e-33,9.6065621506042e-30
"FBgn0000071",180.010186280563,2.55041739202285,0.217877830539389,11.7057223569232,1.19140271676041e-31,1.3154787996916e-28
"FBgn0011260",140.36396159139,2.26992445056084,0.196398900561624,11.5577248348628,6.74728306879882e-31,6.51871885484326e-28
"FBgn0001226",686.718968222279,1.66447916617561,0.150083387332178,11.0903624695759,1.39720465111368e-28,1.19988830538418e-25
"FBgn0034434",76.9133433662831,-3.41666962499551,0.315477978762543,-10.8301366656314,2.47785223145155e-27,1.9151319896889e-24
"FBgn0038832",167.592292128456,-2.49700677803106,0.231064505591407,-10.8065354808173,3.20548533346582e-27,2.25229055839612e-24
"FBgn0026562",23460.0755291105,-2.26701681543471,0.214147180531184,-10.5862557228699,3.45121775030611e-26,2.22287183267633e-23
"FBgn0031191+FBgn0027279",2043.80957969435,-0.999227549602538,0.0961101340645782,-10.3966929120205,2.56687655385017e-25,1.52610683728523e-22
"FBgn0033913",2816.22051786191,-1.15698141217703,0.111841826562898,-10.344800757759,4.41834382111148e-25,2.43924138524076e-22
"FBgn0051092",93.3303464268381,2.37609818690018,0.230500654370558,10.3084227391403,6.45520110608926e-25,3.32614995659759e-22
"FBgn0023479",1823.53557328281,-1.48078651665082,0.144003778969974,-10.2829698445593,8.40955916610049e-25,4.06234267467442e-22
"FBgn0035189",115.492220778798,2.77497348587368,0.271336525961297,10.2270546733155,1.50012453951001e-24,6.8202720975723e-22
"FBgn0003501",161.220991835068,2.06729474399634,0.206741606044039,9.99941319772845,1.53302756746128e-23,6.58265003828236e-21
"FBgn0033764",41.7455783445008,3.24798038949969,0.328466784064546,9.88830696762763,4.67873367892054e-23,1.90325961075668e-20
"FBgn0039419",806.812691718091,-1.17125880532636,0.119178063212001,-9.82780533396368,8.54608283928058e-23,3.30263371323998e-20
"FBgn0034897",539.303379131195,-1.75502014302892,0.183579960730043,-9.55997667746371,1.17783244230618e-21,4.3349842602783e-19
"FBgn0003748",638.404991063006,1.01353634003692,0.106554397897265,9.51191466554139,1.87185040459731e-21,6.57615080778756e-19
"FBgn0037290",44.3713135703912,3.15723904067818,0.333681936263929,9.46182186554122,3.02623777344053e-21,1.01694746743138e-18
"FBgn0261552",2891.60113715861,-1.88060299335957,0.199141101706906,-9.44357029884983,3.60289090960253e-21,1.16028099334658e-18
"FBgn0034751",8812.2339812783,-1.06573985839938,0.114014632974534,-9.34739542280874,8.98325728457472e-21,2.77726382209912e-18
"FBgn0063649",376.872136204204,-1.31166926057301,0.143539171342527,-9.13805791342477,6.35838832627385e-20,1.89015320668348e-17
"FBgn0039827",171.935554241013,-2.75537560605941,0.305376877794681,-9.02286913782639,1.83226383650968e-19,5.24502488606789e-17
"FBgn0003137",2579.03764223005,0.903441229873845,0.101331107500242,8.91573429089078,4.84594251120374e-19,1.33765320246763e-16
"FBgn0024288",32.0787001171375,-3.91111266625256,0.440621033027857,-8.87636397966797,6.90815236348372e-19,1.84114171094364e-16
"FBgn0052407",114.813921385962,-2.07885286398854,0.23797977266148,-8.73541831198259,2.42756086628593e-18,6.25420597850798e-16
"FBgn0040827",117.030779720834,-2.09277835037088,0.239965148756845,-8.72117622585054,2.75326533541873e-18,6.86451218627465e-16
"FBgn0001224",314.429485648682,1.42552823674018,0.167186557269662,8.52657211213991,1.50748215892096e-17,3.64104050196878e-15
"FBgn0051523",2852.13022195936,-0.792871007917161,0.0951456838253491,-8.333231482918,7.8665142046457e-17,1.84243297841535e-14
"FBgn0039109",290.334451440046,-1.17136057230107,0.14093865943416,-8.31113746223956,9.47890442822468e-17,2.15477800958084e-14
"FBgn0025111+FBgn0003360",3454.29887102179,-1.01606400488847,0.122487187434445,-8.29526766162598,1.08340981298751e-16,2.39247841273728e-14
"FBgn0001225",218.425378943731,1.24384501602368,0.150121272942281,8.28560131182685,1.17513826353584e-16,2.52295656635236e-14
"FBgn0031150",469.229985713552,1.21469698220747,0.14907869414189,8.14802537142796,3.69914756095496e-16,7.72721932395159e-14
"FBgn0085359",33.953598076468,-3.54836452178416,0.441517948135991,-8.03673901993047,9.22608839571052e-16,1.87653782132754e-13
"FBgn0051363",4196.66475888597,0.906803153050977,0.114946312303417,7.88892775139531,3.047939027657e-15,6.04038993455409e-13
"FBgn0016715",86.3132925856205,-1.86430153911608,0.236808736330274,-7.8726045669023,3.47333148513471e-15,6.71134476215155e-13
"FBgn0036968",447.610671716288,-0.962497672485257,0.122942376788901,-7.82885200062401,4.92344796797269e-15,9.28129984011243e-13
"FBgn0261362",3453.73018699876,1.47263113569794,0.194133147945611,7.58567586876259,3.30758340793395e-14,6.0867409904575e-12
"FBgn0032004",517.672048890807,-1.23527279707806,0.163170092105597,-7.57046086778354,3.71902452318222e-14,6.68473035806404e-12
"FBgn0050147",598.405971050014,-0.885149693849629,0.117175325360679,-7.55406218096721,4.21888600141709e-14,7.41085679658015e-12
"FBgn0051642",56.4658468110853,1.98983588877198,0.264836709235156,7.51344439567533,5.75916106807686e-14,9.89167908781468e-12
"FBgn0037754",160.479079220019,-2.08604297949878,0.279892713167564,-7.45300924733229,9.12348859309688e-14,1.53294442034882e-11
"FBgn0039479",97.4144915488579,1.57806064511587,0.211891569686679,7.44749141010815,9.51317412721488e-14,1.56441112402646e-11
"FBgn0001137",290.657108373062,-1.30092620698278,0.176328560459948,-7.3778530465476,1.6086237554091e-13,2.5902193761577e-11
"FBgn0040099",470.737759345769,-1.68701981190927,0.228957800417743,-7.36825654697605,1.72873874053403e-13,2.72682076032398e-11
"FBgn0260011",45.0828278182932,2.1129720494048,0.289455477787358,7.29981711023982,2.88159147551374e-13,4.45436410284915e-11
"FBgn0053307",603.09289750338,-1.40422924247671,0.193960093748401,-7.23978430479741,4.49398879980922e-13,6.81059596739715e-11
"FBgn0040271",601.467951787499,0.851302883289208,0.118284110180184,7.19710265387635,6.15054586826476e-13,9.14184019534969e-11
"FBgn0036985",1011.69694624473,-1.33730772037091,0.186160681592461,-7.18362067076286,6.78890600499722e-13,9.90027443634406e-11
"FBgn0259715",402.348874846924,-1.7483387963002,0.245775429749915,-7.11356215745077,1.13085520019111e-12,1.61858885968095e-10
"FBgn0001258",888.612695586217,0.912755190338341,0.130054709568508,7.01824019573499,2.24680060159549e-12,3.1573676090421e-10
"FBgn0037153",63.6323357619375,1.73829823010358,0.248920130405876,6.98335738161957,2.8820800982645e-12,3.97778519276541e-10
"FBgn0032405",50.6281823492568,2.3016181078305,0.329740698021871,6.9800850232865,2.95001476901721e-12,4.0001165174972e-10
