"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0039155",453.275338598749,-4.08164422272868,0.174492722384316,-23.391486859486,5.21732420885364e-121,4.12846864646588e-117
"FBgn0029167",2165.04449786732,-2.15715482420733,0.0964709255275349,-22.3606730464261,9.50683086211094e-111,3.76137763059419e-107
"FBgn0035085",366.827879044973,-2.37872714960436,0.135383355840387,-17.5703071831726,4.15914289585171e-69,1.09704325782915e-65
"FBgn0034736",118.407382327029,-2.96575110618404,0.204731153957463,-14.4860762461205,1.48380194526016e-47,2.93533119821091e-44
"FBgn0029896",257.902702279936,-2.40728581149778,0.167858764730457,-14.3411386075868,1.21052959320596e-46,1.91578413420775e-43
"FBgn0040091",610.603484946151,-1.49926724232585,0.115611496255256,-12.9681501484563,1.85452078903606e-38,2.44580383394039e-35
"FBgn0011260",140.36396159139,2.17633709441664,0.17459509177383,12.4650531255246,1.15794592852119e-35,1.30897516176974e-32
"FBgn0031191+FBgn0027279",2043.80957969435,-0.99194854299766,0.0805336307045529,-12.3171963603223,7.31949481198455e-35,7.23989530590422e-32
"FBgn0000071",180.010186280563,2.38342671635212,0.204095369485927,11.6780048580008,1.65125857549487e-31,1.4518232342101e-28
"FBgn0003748",638.404991063006,1.00526739234993,0.0878755596210384,11.4396698773257,2.64891523737132e-30,2.09608662733193e-27
"FBgn0034434",76.9133433662831,-2.98029216960267,0.26175773352445,-11.3856890853782,4.92771605024118e-30,3.54481973686895e-27
"FBgn0001226",686.718968222279,1.61489837020524,0.143658138893343,11.2412591632153,2.55708755533953e-29,1.68618615211681e-26
"FBgn0033913",2816.22051786191,-1.14115578358372,0.102742798137728,-11.106917509235,1.1609826982249e-28,7.06681237773358e-26
"FBgn0051092",93.3303464268381,2.2298990198508,0.203757686542202,10.9438768062816,7.1093401201286e-28,4.0183005978984e-25
"FBgn0038832",167.592292128456,-2.31222461326174,0.21304797063155,-10.8530703503417,1.92836683045766e-27,1.01727778196076e-24
"FBgn0033764",41.7455783445008,2.86185931842208,0.264795940764474,10.8077915022406,3.16190650146021e-27,1.56376038412842e-24
"FBgn0039419",806.812691718091,-1.15405858509729,0.106839266207573,-10.8018205858427,3.37445319108341e-27,1.57070871182606e-24
"FBgn0023479",1823.53557328281,-1.43783729613203,0.140118228444802,-10.2616005932336,1.04952492343809e-24,4.61382817731421e-22
"FBgn0003501",161.220991835068,1.95376558664526,0.191209793255907,10.2179158994771,1.64846863202803e-24,6.86543804486199e-22
"FBgn0037290",44.3713135703912,2.74723601312559,0.272360902443321,10.0867488265769,6.32290775691204e-24,2.50165845402225e-21
"FBgn0003137",2579.03764223005,0.894781152155948,0.0888198330367721,10.0741143229294,7.19056876338197e-24,2.7094747916496e-21
"FBgn0035189",115.492220778798,2.47784833285903,0.248557411330381,9.96891752129445,2.08488656444174e-23,7.4989579020125e-21
"FBgn0063649",376.872136204204,-1.28143423532243,0.130311473413892,-9.83362555691749,8.06614515886757e-23,2.77510463661387e-20
"FBgn0034751",8812.2339812783,-1.04927612611649,0.106840520225415,-9.82095672973793,9.14712554549793e-23,3.01588351839688e-20
"FBgn0024288",32.0787001171375,-3.03867007536964,0.310211794718882,-9.79546918299263,1.17749471146652e-22,3.72700626073383e-20
