chr	length	variations
1	249250621	4401091
2	243199373	4607702
3	198022430	3894345
4	191154276	3673892
5	180915260	3436667
6	171115067	3360890
7	159138663	3045992
8	146364022	2890692
9	141213431	2581827
10	135534747	2609802
11	135006516	2607254
12	133851895	2482194
13	115169878	1814242
14	107349540	1712799
15	102531392	1577346
16	90354753	1747136
17	81195210	1491841
18	78077248	1448602
19	59128983	1171356
20	63025520	1206753
21	48129895	787784
22	51304566	745778
23	155270560	2174952
24	59373566	286812
25	16569	929
